product_category_name,product_category_name_english,Products_Category
beleza_saude,health_beauty,Beauty & Personal Care
informatica_acessorios,computers_accessories,Electronics & Accessories
automotivo,auto,Auto & Industry
cama_mesa_banho,bed_bath_table,Home & Furniture
moveis_decoracao,furniture_decor,Home & Furniture
esporte_lazer,sports_leisure,Sports
perfumaria,perfumery,Beauty & Personal Care
utilidades_domesticas,housewares,Home & Furniture
telefonia,telephony,Electronics & Accessories
relogios_presentes,watches_gifts,Fashion
alimentos_bebidas,food_drink,Food & Drinks
bebes,baby,Baby & Kids
papelaria,stationery,Stationery
tablets_impressao_imagem,tablets_printing_image,Electronics & Accessories
brinquedos,toys,Baby & Kids
telefonia_fixa,fixed_telephony,Electronics & Accessories
ferramentas_jardim,garden_tools,Construction & Tools
fashion_bolsas_e_acessorios,fashion_bags_accessories,Fashion
eletroportateis,small_appliances,Appliances
consoles_games,consoles_games,Electronics & Accessories
audio,audio,Electronics & Accessories
fashion_calcados,fashion_shoes,Fashion
cool_stuff,cool_stuff,Party & Decoration
malas_acessorios,luggage_accessories,Fashion
climatizacao,air_conditioning,Appliances
construcao_ferramentas_construcao,construction_tools_construction,Construction & Tools
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,Home & Furniture
construcao_ferramentas_jardim,costruction_tools_garden,Construction & Tools
fashion_roupa_masculina,fashion_male_clothing,Fashion
pet_shop,pet_shop,Pets
moveis_escritorio,office_furniture,Home & Furniture
market_place,market_place,Marketplace
eletronicos,electronics,Electronics & Accessories
eletrodomesticos,home_appliances,Appliances
artigos_de_festas,party_supplies,Party & Decoration
casa_conforto,home_confort,Home & Furniture
construcao_ferramentas_ferramentas,costruction_tools_tools,Construction & Tools
agro_industria_e_comercio,agro_industry_and_commerce,Auto & Industry
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,Home & Furniture
livros_tecnicos,books_technical,Books
casa_construcao,home_construction,Construction & Tools
instrumentos_musicais,musical_instruments,Party & Decoration
moveis_sala,furniture_living_room,Home & Furniture
construcao_ferramentas_iluminacao,construction_tools_lights,Construction & Tools
industria_comercio_e_negocios,industry_commerce_and_business,Auto & Industry
alimentos,food,Food & Drinks
artes,art,Art & Music
moveis_quarto,furniture_bedroom,Home & Furniture
livros_interesse_geral,books_general_interest,Books
construcao_ferramentas_seguranca,construction_tools_safety,Construction & Tools
fashion_underwear_e_moda_praia,fashion_underwear_beach,Fashion
fashion_esporte,fashion_sport,Fashion
sinalizacao_e_seguranca,signaling_and_security,Auto & Industry
pcs,computers,Electronics & Accessories
artigos_de_natal,christmas_supplies,Party & Decoration
fashion_roupa_feminina,fashio_female_clothing,Fashion
eletrodomesticos_2,home_appliances_2,Appliances
livros_importados,books_imported,Books
bebidas,drinks,Food & Drinks
cine_foto,cine_photo,Electronics & Accessories
la_cuisine,la_cuisine,Home & Furniture
musica,music,Art & Music
casa_conforto_2,home_comfort_2,Home & Furniture
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,Appliances
cds_dvds_musicais,cds_dvds_musicals,Electronics & Accessories
dvds_blu_ray,dvds_blu_ray,Electronics & Accessories
flores,flowers,Flowers
artes_e_artesanato,arts_and_craftmanship,Art & Music
fraldas_higiene,diapers_and_hygiene,Beauty & Personal Care
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,Fashion
seguros_e_servicos,security_and_services,Security Services
